"","bird","session","accuracy","Euclidean","CityBlock"
"493","43R",4,1,7,7
"494","43R",4,0,1,1
"495","43R",4,1,7.61577310586391,10
"496","43R",4,1,6.08276253029822,7
"497","43R",4,1,5,7
"498","43R",4,1,7.07106781186548,10
"499","43R",4,1,8.06225774829855,9
"500","43R",4,0,5,7
"501","43R",4,0,5.09901951359278,6
"502","43R",4,1,8.24621125123532,10
"503","43R",4,1,4,4
"504","43R",4,1,5,7
"505","43R",4,1,5.3851648071345,7
"506","43R",4,1,7.21110255092798,10
"507","43R",4,1,7.61577310586391,10
"508","43R",4,1,9.4339811320566,13
"509","43R",4,0,3,3
"510","43R",4,1,6.70820393249937,9
"511","43R",4,1,7,7
"512","43R",4,1,3.16227766016838,4
"513","43R",4,1,6.08276253029822,7
"514","43R",4,1,7.21110255092798,10
"515","43R",4,1,8.06225774829855,9
"516","43R",4,1,8.54400374531753,11
"517","43R",4,1,6.08276253029822,7
"518","43R",4,0,3.16227766016838,4
"519","43R",4,1,3,3
"520","43R",4,1,8,8
"521","43R",4,1,7,7
"522","43R",4,1,8.54400374531753,11
"523","43R",4,1,6,6
"524","43R",4,1,10.6301458127346,15
"525","43R",4,1,8.48528137423857,12
"526","43R",4,1,9.21954445729289,13
"527","43R",4,1,5.65685424949238,8
"528","43R",4,1,5,7
"529","43R",4,1,2,2
"530","43R",4,1,6.70820393249937,9
"531","43R",4,0,2,2
"532","43R",4,0,1,1
"533","43R",4,0,8.06225774829855,9
"534","43R",4,1,2.23606797749979,3
"535","43R",4,1,9.4339811320566,13
"536","43R",4,1,8.06225774829855,11
"537","43R",4,1,8.06225774829855,11
"538","43R",4,1,7,7
"539","43R",4,1,4.47213595499958,6
"540","43R",4,1,7.61577310586391,10
"541","43R",4,1,7.81024967590665,11
"542","43R",4,1,9.89949493661167,14
"543","43R",4,1,8.24621125123532,10
"544","43R",4,1,8.06225774829855,11
"545","43R",4,1,4.24264068711928,6
"546","43R",4,1,7.07106781186548,8
"547","43R",4,1,10,14
"548","43R",4,1,8.94427190999916,12
"549","43R",4,1,8.60232526704263,12
"550","43R",4,0,2,2
"551","43R",4,1,10.6301458127346,15
"552","43R",4,1,4.12310562561766,5
"553","43R",4,1,4.12310562561766,5
"554","43R",4,1,6.32455532033676,8
"555","43R",4,1,7.28010988928052,9
"556","43R",4,1,9.21954445729289,13
"557","43R",4,1,9.21954445729289,13
"558","43R",4,1,4.47213595499958,6
"559","43R",4,1,1,1
"560","43R",4,1,5,5
"561","43R",4,1,7.07106781186548,8
"562","43R",4,1,3,3
"563","43R",4,1,8.60232526704263,12
"564","43R",4,1,4,4
"565","43R",4,1,8.06225774829855,9
"566","43R",4,1,5.8309518948453,8
"567","43R",4,1,1.4142135623731,2
"568","43R",4,1,5.09901951359278,6
"569","43R",4,1,6.70820393249937,9
"570","43R",4,1,8.54400374531753,11
"571","43R",4,1,10,14
"572","43R",4,1,8.60232526704263,12
"573","43R",4,1,7.28010988928052,9
"574","43R",4,1,8.54400374531753,11
"575","43R",4,1,3.60555127546399,5
"576","43R",4,1,3,3
"577","43R",4,1,8.48528137423857,12
"578","43R",4,1,2.82842712474619,4
"579","43R",4,1,4.12310562561766,5
"580","43R",4,1,7.07106781186548,8
"581","43R",4,1,5.3851648071345,7
"582","43R",4,1,8.94427190999916,12
"583","43R",4,1,8,8
"584","43R",4,1,5,5
"585","43R",4,1,6.70820393249937,9
"586","43R",4,1,4,4
"587","43R",4,1,5.3851648071345,7
"588","43R",4,1,4.47213595499958,6
"589","43R",4,1,6.40312423743285,9
"590","43R",4,1,7.81024967590665,11
"591","43R",4,1,8.06225774829855,11
"592","43R",4,1,7.28010988928052,9
"593","43R",4,1,11.3137084989848,16
"594","43R",4,1,5,5
"595","43R",4,1,9.4339811320566,13
"596","43R",4,1,6.32455532033676,8
"597","43R",4,1,7.61577310586391,10
"598","43R",4,1,10,14
"599","43R",4,1,2.23606797749979,3
"600","43R",4,1,6.40312423743285,9
"601","43R",4,1,2.82842712474619,4
"602","43R",4,1,4.24264068711928,6
"603","43R",4,1,7.81024967590665,11
"604","43R",4,1,8.24621125123532,10
"605","43R",4,1,1.4142135623731,2
"606","43R",4,1,1,1
"607","43R",4,1,5.65685424949238,8
"608","43R",4,1,8.94427190999916,12
"609","43R",4,1,8,8
"610","43R",4,1,7.28010988928052,9
"611","43R",4,1,5.8309518948453,8
"612","43R",4,1,6,6
"613","43R",4,1,7.21110255092798,10
"614","43R",4,1,10,14
"615","43R",4,1,8.24621125123532,10
"616","43R",4,1,3.16227766016838,4
"617","43R",4,1,2.23606797749979,3
"618","43R",4,1,6,6
"619","43R",4,1,7.81024967590665,11
"620","43R",4,1,7.07106781186548,10
"621","43R",4,1,6.40312423743285,9
"622","43R",4,0,5,5
"623","43R",4,1,9.21954445729289,13
"624","43R",4,0,2.23606797749979,3
"625","43R",4,1,5.3851648071345,7
"626","43R",4,1,9.89949493661167,14
"627","43R",4,1,11.3137084989848,16
"628","43R",4,1,8,8
"629","43R",4,1,4.47213595499958,6
"630","43R",4,1,4.12310562561766,5
"631","43R",4,1,3.16227766016838,4
"632","43R",4,1,9.4339811320566,13
"633","43R",4,1,5.09901951359278,6
"634","43R",4,1,3.60555127546399,5
"635","43R",4,1,6.08276253029822,7
"636","43R",4,1,6.32455532033676,8
"637","43R",4,1,7.21110255092798,10
"638","43R",4,1,4,4
"639","43R",4,1,5.8309518948453,8
"640","43R",4,1,6.32455532033676,8
"641","43R",5,1,7.61577310586391,10
"642","43R",5,0,7.21110255092798,10
"643","43R",5,0,4.12310562561766,5
"644","43R",5,1,8.06225774829855,9
"645","43R",5,1,3.60555127546399,5
"646","43R",5,1,2,2
"647","43R",5,1,6.70820393249937,9
"648","43R",5,1,7.28010988928052,9
"649","43R",5,1,6.32455532033676,8
"650","43R",5,0,4.47213595499958,6
"651","43R",5,1,10.6301458127346,15
"652","43R",5,0,2.23606797749979,3
"653","43R",5,1,5,5
"654","43R",5,0,1.4142135623731,2
"655","43R",5,0,4,4
"656","43R",5,1,2,2
"657","43R",5,1,7.21110255092798,10
"658","43R",5,1,5.65685424949238,8
"659","43R",5,1,8.06225774829855,9
"660","43R",5,1,8,8
"661","43R",5,1,3,3
"662","43R",5,1,8,8
"663","43R",5,1,8.54400374531753,11
"664","43R",5,0,3.16227766016838,4
"665","43R",5,1,7.81024967590665,11
"666","43R",5,1,3.16227766016838,4
"667","43R",5,1,7.07106781186548,10
"668","43R",5,1,6.40312423743285,9
"669","43R",5,1,6.32455532033676,8
"670","43R",5,0,2.23606797749979,3
"671","43R",5,1,5.8309518948453,8
"672","43R",5,1,5.8309518948453,8
"673","43R",5,1,10.6301458127346,15
"674","43R",5,1,2,2
"675","43R",5,1,6.32455532033676,8
"676","43R",5,1,4,4
"677","43R",5,0,5,5
"678","43R",5,0,3.16227766016838,4
"679","43R",5,1,8.24621125123532,10
"680","43R",5,1,9.21954445729289,13
"681","43R",5,1,8.94427190999916,12
"682","43R",5,1,6.70820393249937,9
"683","43R",5,1,8.60232526704263,12
"684","43R",5,1,7.81024967590665,11
"685","43R",5,1,8.06225774829855,11
"686","43R",5,1,9.4339811320566,13
"687","43R",5,1,5.09901951359278,6
"688","43R",5,1,5,7
"689","43R",5,1,5.3851648071345,7
"690","43R",5,1,10,14
"691","43R",5,1,8.54400374531753,11
"692","43R",5,1,5.09901951359278,6
"693","43R",5,1,8.94427190999916,12
"694","43R",5,1,8.06225774829855,11
"695","43R",5,1,8.94427190999916,12
"696","43R",5,1,8.54400374531753,11
"697","43R",5,1,5.3851648071345,7
"698","43R",5,1,5,7
"699","43R",5,1,8.06225774829855,9
"700","43R",5,1,10,14
"701","43R",5,1,6.40312423743285,9
"702","43R",5,1,6.40312423743285,9
"703","43R",5,1,3.60555127546399,5
"704","43R",5,1,5.65685424949238,8
"705","43R",5,1,10,14
"706","43R",5,1,8.94427190999916,12
"707","43R",5,1,9.89949493661167,14
"708","43R",5,1,2.23606797749979,3
"709","43R",5,1,7.61577310586391,10
"710","43R",5,1,3.60555127546399,5
"711","43R",5,1,7,7
"712","43R",5,1,7,7
"713","43R",5,1,3,3
"714","43R",5,1,6,6
"715","43R",5,1,7,7
"716","43R",5,1,8.60232526704263,12
"717","43R",5,1,1,1
"718","43R",5,1,5.8309518948453,8
"719","43R",5,1,6.08276253029822,7
"720","43R",5,1,6.08276253029822,7
"721","43R",5,1,6,6
"722","43R",5,1,8.06225774829855,11
"723","43R",5,1,7.07106781186548,8
"724","43R",5,1,3.16227766016838,4
"725","43R",5,1,2.23606797749979,3
"726","43R",5,1,4,4
"727","43R",5,1,7.61577310586391,10
"728","43R",5,1,6,6
"729","43R",5,1,10.6301458127346,15
"730","43R",5,1,5,5
"731","43R",5,1,9.4339811320566,13
"732","43R",5,1,4.47213595499958,6
"733","43R",5,1,9.4339811320566,13
"734","43R",5,1,8,8
"735","43R",5,1,8.48528137423857,12
"736","43R",5,1,8.24621125123532,10
"737","43R",5,1,1,1
"738","43R",5,1,7.07106781186548,8
"739","43R",5,1,4.47213595499958,6
"740","43R",5,1,7,7
